Id,Nombre,Apellido,DocumId,Email,Telefono,Nacionalidad,Residencia,Asunto,Fecha Historia
1,Carolin,Monsalve,20980474,mariacarmona@gamil.com,416090874,Venezonala,Caracas,Compliance,
5,Carolina,Gonzales,209804700,mariacarmona@gamil.com,416090874,Venezonala,Caracas,Divorcio,
6,José,Muños,13456789,muñosjose@gmail.com,4145346789,Venezuela,Miranda,Penal,
7,Juan,Carmona,1234,juancarmona@gmail.com,4128730984,Venezolano,Barinas,Divorcio,
9,Luciano,Perez,15873654,lucianop12@gmail.com,4128763678,Venezolano,Valencia,Penal,
10,Armando,Mendoza,18764982,18armandomen@gmail.com,+53 890 6537,Colombia,Bogota,Penal,
11,Junior,Peroza,1278698,juniorp23@gmail.com,4167876536,Venezolano,Zulia,Penal,
12,Lucian,Miranda,15678265,lucianomiranda@gmail.com,4168762987,Venezolano,Barinas,Penal,
14,Emileth,Berrios,30740923,soyemileth123@gmail.com,4127839002,Venezolana,Barinas,Penal,
15,Margarita,Roman,19827937,margarita1234@gmail.com,4122873284,Venezuela,Barinas,Asesoría en Protección de Datos para empresas,
16,asd,asfd,213,asd,123,Eslovenia,asd,Buenas Prácticas Digitales en el Puesto de Trabajo,
